id,title,date,type,duration_seconds,video_url,summary_count,vote_count,topics,wer_score
1080,9/20/22 City Council Meeting,2022-09-20,City Council,,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/chico-ca/chico-ca_c6a2b8ae-898f-4c2a-9615-eac5d9bf5d7e.mp4/playlist.m3u8,55,11,,0.20092117841313983
1079,9/6/22 Council Meeting,2022-09-06,City Council,,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/chico-ca/chico-ca_650b2893-6396-43ba-b009-85d612174269.mp4/playlist.m3u8,64,3,form-based codes|groundwater or water supply|infill development|infrastructure deficit|missing middle housing|parking,1.82865403636917
1077,8/4/22 Special City Council Meeting,2022-08-04,Special Meeting,,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/chico-ca/chico-ca_026d150f-632a-40a4-8aba-87d53e1c1e23.mp4/playlist.m3u8,9,0,,0.2557235421166307
1076,8/2/22 City Council (Closed Session at 5:00 p.m.),2022-08-02,City Council,,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/chico-ca/chico-ca_1cac87db-843d-46ea-846c-6e385ca7b056.mp4/playlist.m3u8,68,10,adu (accessory dwelling units)|form-based codes|groundwater or water supply|infill development|infrastructure deficit|missing middle housing|parking minimums or parking reform|valley's edge development,0.19302433731204463
1075,7/21/22 Planning Commission,2022-07-21,Planning Commission,,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/chico-ca/chico-ca_0713a08a-46d0-4f96-9c30-20b6a93d36ce.mp4/playlist.m3u8,27,1,,0.17055173570350496
1074,7/5/22 City Council,2022-07-05,City Council,,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/chico-ca/chico-ca_13dfe34f-4d5d-4228-b940-4941f9e87ef5.mp4/playlist.m3u8,45,6,infrastructure,0.19091439040639574
1071,6/21/22 City Council Minutes,2022-06-21,City Council,,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/chico-ca/chico-ca_e51e9adc-09c0-4c4b-8623-0d79191d7062.mp4/playlist.m3u8,44,7,missing middle housing,0.27002242711188634
1069,6/7/22 City Council Meeting,2022-06-07,City Council,,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/chico-ca/chico-ca_049bdc74-1f65-43ea-9a77-fba2374974fa.mp4/playlist.m3u8,16,0,,1.1115384615384616
1068,6/2/22 Planning Commission,2022-06-02,Planning Commission,,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/chico-ca/chico-ca_b4252745-5169-4b2d-ad49-c7b18ec1f3d9.mp4/playlist.m3u8,3,1,,0.16416550541322758
1067,5/19/22 Planning Commission,2022-05-19,Planning Commission,,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/chico-ca/chico-ca_7a430627-50d0-4320-a89a-918888075b1c.mp4/playlist.m3u8,3,1,,0.3327485880540818
1066,5/17/22 City Council Meeting - 1 p.m. Budget Study Session,2022-05-17,City Council,,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/chico-ca/chico-ca_3ee86848-e5c6-4650-83b2-47fb877e70e4.mp4/playlist.m3u8,72,7,adu (accessory dwelling units)|parking minimums or parking reform|valley's edge development,0.20229393646853308
1065,5/3/22 City Council Meeting,2022-05-03,City Council,,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/chico-ca/chico-ca_5e1f682d-6090-441e-8512-5574d844e4e0.mp4/playlist.m3u8,52,7,infill development,0.9999245738422085
